id,sample_name,test_name,user_name,date_of_creation,raw_file_location,processed_file_location,processing_date,camera_type_1,notes,sample_id,quantity,deleted,issue,project.id,project.user_name,project.project_name,project.annotation,project.test_name,project.sample_names.sample_names,project.neutral_filler,project.qpc20,project.qpc50,project.qpc80,project.qpc100,project.notes,issue.id,issue.name,issue.description,project
33594,acetyl-isoniazid,12LanePADKenya2015,api-D5HDZG76N3ICA3GBUYWC,2021-07-30T11:45:02,/var/www/html/images/padimages/raw/30000/33594_raw.png,/var/www/html/images/padimages/processed/30000/33594_processed.png,2021-07-30T11:45:02,Google Pixel 3a,"Predicted drug = epinephrine (0.336), 100%, florescent",62779,100,False,,14.0,Marya Lieberman,FHI360_2021_blinded,FHI20,12LanePADKenya2015,"['Albendazole', 'Amoxicillin', 'Ampicillin', 'Ascorbic Acid', 'Azithromycin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Ceftriaxone', 'Chloroquine', 'Ciprofloxacin', 'Doxycycline', 'Epinephrine', 'Ethambutol', 'Ferrous Sulfate', 'Hydroxychloroquine', 'Isoniazid', 'Lactose', 'Promethazine Hydrochloride', 'Pyrazinamide', 'RI (Rifampicin/Isoniazid)', 'RIPE', 'Rifampicin', 'Starch (Maize)', 'Sulfamethoxazole', 'Talc', 'Tetracycline', 'Unknown']",Lactose,1.0,1.0,1.0,1.0,Blinded test based on FHI2020 at 100% or 50% API content. Cleaned by RR.,,,,
33599,acetyl-isoniazid,12LanePADKenya2015,api-D5HDZG76N3ICA3GBUYWC,2021-07-30T11:58:14,/var/www/html/images/padimages/raw/30000/33599_raw.png,/var/www/html/images/padimages/processed/30000/33599_processed.png,2021-07-30T11:58:14,Google Pixel 3a,"Predicted drug = amoxicillin (0.755), 100%, florescent",62894,100,False,,14.0,Marya Lieberman,FHI360_2021_blinded,FHI20,12LanePADKenya2015,"['Albendazole', 'Amoxicillin', 'Ampicillin', 'Ascorbic Acid', 'Azithromycin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Ceftriaxone', 'Chloroquine', 'Ciprofloxacin', 'Doxycycline', 'Epinephrine', 'Ethambutol', 'Ferrous Sulfate', 'Hydroxychloroquine', 'Isoniazid', 'Lactose', 'Promethazine Hydrochloride', 'Pyrazinamide', 'RI (Rifampicin/Isoniazid)', 'RIPE', 'Rifampicin', 'Starch (Maize)', 'Sulfamethoxazole', 'Talc', 'Tetracycline', 'Unknown']",Lactose,1.0,1.0,1.0,1.0,Blinded test based on FHI2020 at 100% or 50% API content. Cleaned by RR.,,,,
33588,acetyl-isoniazid,12LanePADKenya2015,api-D5HDZG76N3ICA3GBUYWC,2021-07-30T11:38:32,/var/www/html/images/padimages/raw/30000/33588_raw.png,/var/www/html/images/padimages/processed/30000/33588_processed.png,2021-07-30T11:38:32,Google Pixel 3a,"Predicted drug = epinephrine (0.445), 100%, florescent",62890,100,False,,14.0,Marya Lieberman,FHI360_2021_blinded,FHI20,12LanePADKenya2015,"['Albendazole', 'Amoxicillin', 'Ampicillin', 'Ascorbic Acid', 'Azithromycin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Ceftriaxone', 'Chloroquine', 'Ciprofloxacin', 'Doxycycline', 'Epinephrine', 'Ethambutol', 'Ferrous Sulfate', 'Hydroxychloroquine', 'Isoniazid', 'Lactose', 'Promethazine Hydrochloride', 'Pyrazinamide', 'RI (Rifampicin/Isoniazid)', 'RIPE', 'Rifampicin', 'Starch (Maize)', 'Sulfamethoxazole', 'Talc', 'Tetracycline', 'Unknown']",Lactose,1.0,1.0,1.0,1.0,Blinded test based on FHI2020 at 100% or 50% API content. Cleaned by RR.,,,,
33589,acetyl-isoniazid,12LanePADKenya2015,api-D5HDZG76N3ICA3GBUYWC,2021-07-30T11:39:59,/var/www/html/images/padimages/raw/30000/33589_raw.png,/var/www/html/images/padimages/processed/30000/33589_processed.png,2021-07-30T11:39:59,Google Pixel 3a,"Predicted drug = ciprofloxacin (0.522), 100%, florescent - lanes leaking",62783,100,False,,14.0,Marya Lieberman,FHI360_2021_blinded,FHI20,12LanePADKenya2015,"['Albendazole', 'Amoxicillin', 'Ampicillin', 'Ascorbic Acid', 'Azithromycin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Ceftriaxone', 'Chloroquine', 'Ciprofloxacin', 'Doxycycline', 'Epinephrine', 'Ethambutol', 'Ferrous Sulfate', 'Hydroxychloroquine', 'Isoniazid', 'Lactose', 'Promethazine Hydrochloride', 'Pyrazinamide', 'RI (Rifampicin/Isoniazid)', 'RIPE', 'Rifampicin', 'Starch (Maize)', 'Sulfamethoxazole', 'Talc', 'Tetracycline', 'Unknown']",Lactose,1.0,1.0,1.0,1.0,Blinded test based on FHI2020 at 100% or 50% API content. Cleaned by RR.,,,,
33590,acetyl-isoniazid,12LanePADKenya2015,api-D5HDZG76N3ICA3GBUYWC,2021-07-30T11:41:28,/var/www/html/images/padimages/raw/30000/33590_raw.png,/var/www/html/images/padimages/processed/30000/33590_processed.png,2021-07-30T11:41:28,Google Pixel 3a,"Predicted drug = ciprofloxacin (0.361), 20%, florescent",62454,100,False,,14.0,Marya Lieberman,FHI360_2021_blinded,FHI20,12LanePADKenya2015,"['Albendazole', 'Amoxicillin', 'Ampicillin', 'Ascorbic Acid', 'Azithromycin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Ceftriaxone', 'Chloroquine', 'Ciprofloxacin', 'Doxycycline', 'Epinephrine', 'Ethambutol', 'Ferrous Sulfate', 'Hydroxychloroquine', 'Isoniazid', 'Lactose', 'Promethazine Hydrochloride', 'Pyrazinamide', 'RI (Rifampicin/Isoniazid)', 'RIPE', 'Rifampicin', 'Starch (Maize)', 'Sulfamethoxazole', 'Talc', 'Tetracycline', 'Unknown']",Lactose,1.0,1.0,1.0,1.0,Blinded test based on FHI2020 at 100% or 50% API content. Cleaned by RR.,,,,
33595,acetyl-isoniazid,12LanePADKenya2015,api-D5HDZG76N3ICA3GBUYWC,2021-07-30T11:49:33,/var/www/html/images/padimages/raw/30000/33595_raw.png,/var/www/html/images/padimages/processed/30000/33595_processed.png,2021-07-30T11:49:33,Google Pixel 3a,"Predicted drug = epinephrine (0.516), 80%, light box",62890,100,False,,14.0,Marya Lieberman,FHI360_2021_blinded,FHI20,12LanePADKenya2015,"['Albendazole', 'Amoxicillin', 'Ampicillin', 'Ascorbic Acid', 'Azithromycin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Ceftriaxone', 'Chloroquine', 'Ciprofloxacin', 'Doxycycline', 'Epinephrine', 'Ethambutol', 'Ferrous Sulfate', 'Hydroxychloroquine', 'Isoniazid', 'Lactose', 'Promethazine Hydrochloride', 'Pyrazinamide', 'RI (Rifampicin/Isoniazid)', 'RIPE', 'Rifampicin', 'Starch (Maize)', 'Sulfamethoxazole', 'Talc', 'Tetracycline', 'Unknown']",Lactose,1.0,1.0,1.0,1.0,Blinded test based on FHI2020 at 100% or 50% API content. Cleaned by RR.,,,,
33597,acetyl-isoniazid,12LanePADKenya2015,api-D5HDZG76N3ICA3GBUYWC,2021-07-30T11:52:42,/var/www/html/images/padimages/raw/30000/33597_raw.png,/var/www/html/images/padimages/processed/30000/33597_processed.png,2021-07-30T11:52:42,Google Pixel 3a,"Predicted drug = epinephrine (0.705), 80%, light box",62779,100,False,,14.0,Marya Lieberman,FHI360_2021_blinded,FHI20,12LanePADKenya2015,"['Albendazole', 'Amoxicillin', 'Ampicillin', 'Ascorbic Acid', 'Azithromycin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Ceftriaxone', 'Chloroquine', 'Ciprofloxacin', 'Doxycycline', 'Epinephrine', 'Ethambutol', 'Ferrous Sulfate', 'Hydroxychloroquine', 'Isoniazid', 'Lactose', 'Promethazine Hydrochloride', 'Pyrazinamide', 'RI (Rifampicin/Isoniazid)', 'RIPE', 'Rifampicin', 'Starch (Maize)', 'Sulfamethoxazole', 'Talc', 'Tetracycline', 'Unknown']",Lactose,1.0,1.0,1.0,1.0,Blinded test based on FHI2020 at 100% or 50% API content. Cleaned by RR.,,,,
33598,acetyl-isoniazid,12LanePADKenya2015,api-D5HDZG76N3ICA3GBUYWC,2021-07-30T11:54:41,/var/www/html/images/padimages/raw/30000/33598_raw.png,/var/www/html/images/padimages/processed/30000/33598_processed.png,2021-07-30T11:54:41,Google Pixel 3a,"Predicted drug = epinephrine (0.349), 50%, florescent",62452,100,False,,14.0,Marya Lieberman,FHI360_2021_blinded,FHI20,12LanePADKenya2015,"['Albendazole', 'Amoxicillin', 'Ampicillin', 'Ascorbic Acid', 'Azithromycin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Ceftriaxone', 'Chloroquine', 'Ciprofloxacin', 'Doxycycline', 'Epinephrine', 'Ethambutol', 'Ferrous Sulfate', 'Hydroxychloroquine', 'Isoniazid', 'Lactose', 'Promethazine Hydrochloride', 'Pyrazinamide', 'RI (Rifampicin/Isoniazid)', 'RIPE', 'Rifampicin', 'Starch (Maize)', 'Sulfamethoxazole', 'Talc', 'Tetracycline', 'Unknown']",Lactose,1.0,1.0,1.0,1.0,Blinded test based on FHI2020 at 100% or 50% API content. Cleaned by RR.,,,,
33593,acetyl-isoniazid,12LanePADKenya2015,api-D5HDZG76N3ICA3GBUYWC,2021-07-30T11:44:07,/var/www/html/images/padimages/raw/30000/33593_raw.png,/var/www/html/images/padimages/processed/30000/33593_processed.png,2021-07-30T11:44:07,Google Pixel 3a,"Predicted drug = epinephrine (0.683), 100%, florescent",62854,100,False,,14.0,Marya Lieberman,FHI360_2021_blinded,FHI20,12LanePADKenya2015,"['Albendazole', 'Amoxicillin', 'Ampicillin', 'Ascorbic Acid', 'Azithromycin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Ceftriaxone', 'Chloroquine', 'Ciprofloxacin', 'Doxycycline', 'Epinephrine', 'Ethambutol', 'Ferrous Sulfate', 'Hydroxychloroquine', 'Isoniazid', 'Lactose', 'Promethazine Hydrochloride', 'Pyrazinamide', 'RI (Rifampicin/Isoniazid)', 'RIPE', 'Rifampicin', 'Starch (Maize)', 'Sulfamethoxazole', 'Talc', 'Tetracycline', 'Unknown']",Lactose,1.0,1.0,1.0,1.0,Blinded test based on FHI2020 at 100% or 50% API content. Cleaned by RR.,,,,
33591,acetyl-isoniazid,12LanePADKenya2015,api-D5HDZG76N3ICA3GBUYWC,2021-07-30T11:42:44,/var/www/html/images/padimages/raw/30000/33591_raw.png,/var/www/html/images/padimages/processed/30000/33591_processed.png,2021-07-30T11:42:44,Google Pixel 3a,"Predicted drug = epinephrine (0.341), 80%, florescent",62896,100,False,,14.0,Marya Lieberman,FHI360_2021_blinded,FHI20,12LanePADKenya2015,"['Albendazole', 'Amoxicillin', 'Ampicillin', 'Ascorbic Acid', 'Azithromycin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Ceftriaxone', 'Chloroquine', 'Ciprofloxacin', 'Doxycycline', 'Epinephrine', 'Ethambutol', 'Ferrous Sulfate', 'Hydroxychloroquine', 'Isoniazid', 'Lactose', 'Promethazine Hydrochloride', 'Pyrazinamide', 'RI (Rifampicin/Isoniazid)', 'RIPE', 'Rifampicin', 'Starch (Maize)', 'Sulfamethoxazole', 'Talc', 'Tetracycline', 'Unknown']",Lactose,1.0,1.0,1.0,1.0,Blinded test based on FHI2020 at 100% or 50% API content. Cleaned by RR.,,,,
