analyst,row,test_id,labelled_as,actual_identity,identified_as,starch_present,sample_id,date_analyzed,comments
Analyst 21,1.0,T21-SYHF,Amoxicillin,Amoxicillin,Amoxicillin,,30342,20/8/2018,
Analyst 21,2.0,T21-AL9Z,Amoxicillin,Amoxicillin,Amoxicillin,,35221,2018-09-08 00:00:00,
Analyst 21,3.0,T21-7YCI,Amoxicillin,Amoxicillin,Amoxicillin,,33204,19/9/2018,
Analyst 21,4.0,T21-QEAZ,Amoxicillin,Amoxicillin,Amoxicillin,,35366,2018-09-08 00:00:00,
Analyst 21,5.0,T21-PZ1G,Amoxicillin,Amoxicillin,Amoxicillin,,33189,19/9/2018,
Analyst 21,6.0,T21-J6RZ,Amoxicillin,Amoxicillin,Amoxicillin,,31713,13/8/2018,
Analyst 21,7.0,T21-9YWD,Amoxicillin,Amoxicillin,Amoxicillin,,34900,24/8/2018,
Analyst 21,8.0,T21-D92B,Amoxicillin,Amoxicillin,Amoxicillin,,33205,19/9/2018,
Analyst 21,9.0,T21-AXPB,Amoxicillin,Amoxicillin,Amoxicillin,,31744,2018-10-08 00:00:00,
Analyst 21,10.0,T21-MCHJ,Amoxicillin,Amoxicillin,Amoxicillin,,33201,19/9/2018,
Analyst 21,11.0,T21-3WXK,Amoxicillin,Amoxicillin,Amoxicillin,,34901,24/8/2018,
Analyst 21,12.0,T21-GKAP,Amoxicillin,Amoxicillin,Amoxicillin,,31682,2018-10-08 00:00:00,
Analyst 21,13.0,T21-F2ZX,Amoxicillin,Amoxicillin,Amoxicillin,,33190,19/9/2018,
Analyst 21,14.0,T21-M83K,Amoxicillin,Amoxicillin,Amoxicillin,,31683,2018-10-08 00:00:00,
Analyst 21,15.0,T21-0X2U,Amoxicillin,Amoxicillin,Amoxicillin,,31748,2018-10-08 00:00:00,
Analyst 21,16.0,T21-2NQR,Amoxicillin,Lactose,Suspicious,,31746,2018-10-08 00:00:00,No drug in all the lanes
Analyst 21,17.0,T21-0GN8,Amoxicillin,Lactose,Suspicious,,35219,2018-09-08 00:00:00,All the lanes did not show the presense of amoxicillin
Analyst 21,18.0,T21-USWO,Amoxicillin,Lactose,Suspicious,,33200,19/9/2018,
Analyst 21,19.0,T21-14JT,Amoxicillin,Vitamin C,Suspicious,,33762,24/8/2018,
Analyst 21,20.0,T21-OI32,Amoxicillin,Vitamin C,Suspicious,,35357,2018-10-08 00:00:00,Only lane K showed color
Analyst 21,21.0,T21-P76J,Amoxicillin,Vitamin C,Suspicious,,31714,13/8/2018,No dark green in F
Analyst 21,22.0,T21-9ACE,Amoxicillin,Vitamin C,Suspicious,,33202,19/9/2018,
Analyst 21,23.0,T21-LCPR,Amoxicillin,Cellulose,Suspicious,,30407,23/8/2018,
Analyst 21,24.0,T21-3QGF,Amoxicillin,Cellulose,Suspicious,,33763,24/8/2018,
Analyst 21,25.0,T21-FG2K,Amoxicillin,Cellulose,Suspicious,,33188,19/9/2018,
Analyst 21,26.0,T21-4R7I,Amoxicillin,Cellulose,Suspicious,,30405,23/8/2018,
Analyst 21,27.0,T21-OEOL,Amoxicillin,Cellulose,Suspicious,,31715,13/8/2018,No drug in all the lanes
Analyst 21,28.0,T21-PCRZ,Amoxicillin,Paracetamol,Suspicious,,30401,23/8/2018,
Analyst 21,29.0,T21-MB5F,Amoxicillin,Paracetamol,Suspicious,,30403,23/8/2018,
Analyst 21,30.0,T21-LE3T,Amoxicillin,Paracetamol,Suspicious,,30348,23/8/2018,
Analyst 21,31.0,T21-3WTU,Paracetamol,Paracetamol,Paracetamol,,34891,24/8/2018,
Analyst 21,32.0,T21-2ERL,Paracetamol,Paracetamol,Paracetamol,,30410,19/9/2018,
Analyst 21,33.0,T21-AB72,Paracetamol,Paracetamol,Paracetamol,,35228,2018-09-08 00:00:00,
Analyst 21,34.0,T21-4IY0,Paracetamol,Paracetamol,Paracetamol,,31687,2018-10-08 00:00:00,
Analyst 21,35.0,T21-S2OJ,Paracetamol,Paracetamol,Paracetamol,,35220,2018-09-08 00:00:00,
Analyst 21,36.0,T21-NZUW,Paracetamol,Paracetamol,Paracetamol,,34895,24/8/2018,
Analyst 21,37.0,T21-WL0F,Paracetamol,Paracetamol,Paracetamol,,31752,2018-10-08 00:00:00,
Analyst 21,38.0,T21-DU9P,Paracetamol,Paracetamol,Paracetamol,,34129,19/9/2018,
Analyst 21,39.0,T21-FD59,Paracetamol,Paracetamol,Paracetamol,,31716,13/8/2018,
Analyst 21,40.0,T21-VI5S,Paracetamol,Paracetamol,Paracetamol,,33199,19/9/2018,
Analyst 21,41.0,T21-CYG3,Paracetamol,Paracetamol,Paracetamol,,30351,23/8/2018,
Analyst 21,42.0,T21-XIQS,Paracetamol,Paracetamol,Suspicious,,35361,2018-09-08 00:00:00,Lane K did not show anything
Analyst 21,43.0,T21-YSCK,Paracetamol,Paracetamol,Suspicious,,34892,24/8/2018,
Analyst 21,44.0,T21-KZSW,Paracetamol,Paracetamol,Paracetamol,,30346,20/8/2018,
Analyst 21,45.0,T21-FS4G,Paracetamol,Paracetamol,Paracetamol,,33197,19/9/2018,
Analyst 21,46.0,T21-9D3C,Paracetamol,Paracetamol,Paracetamol,,34890,24/8/2018,
Analyst 21,47.0,T21-2D7Q,Paracetamol,Paracetamol,Suspicious,,31753,2018-10-08 00:00:00,Lane K does not show anything
Analyst 21,48.0,T21-02XQ,Paracetamol,Paracetamol,Paracetamol,,30349,23/8/2018,
Analyst 21,49.0,T21-A6CA,Paracetamol,Paracetamol,Paracetamol,,31747,2018-10-08 00:00:00,
Analyst 21,50.0,T21-D8CR,Paracetamol,Paracetamol,Paracetamol,,30337,20/8/2018,
Analyst 21,51.0,T21-XIQY,Paracetamol,Paracetamol Starch,Paracetamol Starch,Yes,35360,2018-09-08 00:00:00,Starch is present as well
