id,sample_name,test_name,user_name,date_of_creation,raw_file_location,processed_file_location,processing_date,camera_type_1,notes,sample_id,quantity,deleted,issue,project.id,project.user_name,project.project_name,project.annotation,project.test_name,project.sample_names.sample_names,project.neutral_filler,project.qpc20,project.qpc50,project.qpc80,project.qpc100,project.notes,test_id
12095,amoxicillin,12LanePADKenya2015,analyst 21,2018-11-29T20:39:26,/var/www/html/images/padimages/raw/10000/12095_raw.jpg,/var/www/html/images/padimages/processed/10000/12095_processed.png,2018-11-29T20:39:26,unknown,"Basket 2 PAD Photos, T21-SYHF",30342,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,T21-SYHF
12195,amoxicillin,12LanePADKenya2015,analyst 21,2018-11-29T20:40:26,/var/www/html/images/padimages/raw/10000/12195_raw.jpg,/var/www/html/images/padimages/processed/10000/12195_processed.png,2018-11-29T20:40:26,unknown,"Basket 1 PAD Photos, T21-AL9Z",35221,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,T21-AL9Z
12115,amoxicillin,12LanePADKenya2015,analyst 21,2018-11-29T20:39:38,/var/www/html/images/padimages/raw/10000/12115_raw.jpg,/var/www/html/images/padimages/processed/10000/12115_processed.png,2018-12-06T11:45:47,unknown,"Basket 3 PAD Photos, T21-7YCI",33204,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,T21-7YCI
12191,amoxicillin,12LanePADKenya2015,analyst 21,2018-11-29T20:40:24,/var/www/html/images/padimages/raw/10000/12191_raw.jpg,/var/www/html/images/padimages/processed/10000/12191_processed.png,2018-11-29T20:40:24,unknown,"Basket 1 PAD Photos, T21-QEAZ",35366,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,T21-QEAZ
12134,amoxicillin,12LanePADKenya2015,analyst 21,2018-11-29T20:39:50,/var/www/html/images/padimages/raw/10000/12134_raw.jpg,/var/www/html/images/padimages/processed/10000/12134_processed.png,2018-11-29T20:39:50,unknown,"Basket 3 PAD Photos, T21-PZ1G",33189,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,T21-PZ1G
12197,amoxicillin,12LanePADKenya2015,analyst 21,2018-11-29T20:40:27,/var/www/html/images/padimages/raw/10000/12197_raw.jpg,/var/www/html/images/padimages/processed/10000/12197_processed.png,2018-11-29T20:40:27,unknown,"Basket 1 PAD Photos, T21-J6RZ",31713,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,T21-J6RZ
12111,amoxicillin,12LanePADKenya2015,analyst 21,2018-11-29T20:39:35,/var/www/html/images/padimages/raw/10000/12111_raw.jpg,/var/www/html/images/padimages/processed/10000/12111_processed.png,2018-11-29T20:39:35,unknown,"Basket 2 PAD Photos, T21-9YWD",34900,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,T21-9YWD
12122,amoxicillin,12LanePADKenya2015,analyst 21,2018-11-29T20:39:42,/var/www/html/images/padimages/raw/10000/12122_raw.jpg,/var/www/html/images/padimages/processed/10000/12122_processed.png,2018-11-29T20:39:42,unknown,"Basket 3 PAD Photos, T21-D92B",33205,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,T21-D92B
12178,amoxicillin,12LanePADKenya2015,analyst 21,2018-11-29T20:40:17,/var/www/html/images/padimages/raw/10000/12178_raw.jpg,/var/www/html/images/padimages/processed/10000/12178_processed.png,2018-11-29T20:40:17,unknown,"Basket 1 PAD Photos, T21-AXPB",31744,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,T21-AXPB
12128,amoxicillin,12LanePADKenya2015,analyst 21,2018-11-29T20:39:46,/var/www/html/images/padimages/raw/10000/12128_raw.jpg,/var/www/html/images/padimages/processed/10000/12128_processed.png,2018-11-29T20:39:46,unknown,"Basket 3 PAD Photos, T21-MCHJ",33201,100,False,,19,Marya Lieberman,MSH Tanzania,,12LanePADKenya2015,"['Amoxicillin', 'Benzyl Penicillin', 'Calcium Carbonate', 'Cellulose', 'Isoniazid', 'Lactose', 'Paracetamol', 'Paracetamol Starch', 'Penicillin Procaine', 'Quinine', 'Starch (Maize)', 'Unknown', 'Vitamin C']",,0,0,0,1,,T21-MCHJ
