"id","sample_id","sample_name","sample_actual","quantity","quantity_actual","user_name","test_id","project"
"9452","35428","Quinine ","Vitamin C","100","100","Analyst 39","T39-NTUD","MSH Tanzania"
"9453","35821","Paracetamol","Paracetamol","100","100","Analyst 39","T39-5C9D","MSH Tanzania"
"9454","35261","Benzyl Penicillin","Starch","100","100","Analyst 39","T39-QH5E","MSH Tanzania"
"9455","35427","Amoxicillin","Lactose","100","100","Analyst 39","T39-R1NW","MSH Tanzania"
"9456","35890","Penicillin Procaine","Cellulose","100","100","Analyst 39","T39-13E1","MSH Tanzania"
"9457","35300","Quinine ","Starch","100","100","Analyst 39","T39-1L0B","MSH Tanzania"
"9458","35298","Quinine ","Quinine","100","100","Analyst 39","T39-TIJ5","MSH Tanzania"
"9459","35809","Benzyl Penicillin","Vitamin C","100","100","Analyst 39","T39-5EMJ","MSH Tanzania"
"9460","35818","Penicillin Procaine","Starch","100","100","Analyst 39","T39-ARH0","MSH Tanzania"
"9461","35416","Benzyl Penicillin","Starch","100","100","Analyst 39","T39-CZHG","MSH Tanzania"
"9462","35895","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 39","T39-G7UL","MSH Tanzania"
"9463","35811","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 39","T39-IAHM","MSH Tanzania"
"9464","35898","Paracetamol","Paracetamol","100","100","Analyst 39","T39-DCCV","MSH Tanzania"
"9465","35891","Paracetamol","Paracetamol","100","100","Analyst 39","T39-DTRS","MSH Tanzania"
"9466","35430","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 39","T39-6F51","MSH Tanzania"
"9467","35823","Paracetamol","Paracetamol","100","100","Analyst 39","T39-KX8L","MSH Tanzania"
"9468","35888","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 39","T39-SGYE","MSH Tanzania"
"9469","35259","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 39","T39-M2PU","MSH Tanzania"
"9470","35431","Benzyl Penicillin","Benzyl Penicillin","100","100","Analyst 39","T39-GNAU","MSH Tanzania"
"9471","33876","Amoxicillin","Amoxicillin","100","100","Analyst 39","T39-TY8J","MSH Tanzania"
"9472","33875","Amoxicillin","Amoxicillin","100","100","Analyst 39","T39-RGBX","MSH Tanzania"
"9473","35429","Quinine ","Cellulose","100","100","Analyst 39","T39-QG2L","MSH Tanzania"
"9474","35889","Penicillin Procaine","Vitamin C","100","100","Analyst 39","T39-ZKFI","MSH Tanzania"
"9475","35816","Paracetamol","Paracetamol Starch","100","100","Analyst 39","T39-TYJ7","MSH Tanzania"
"9476","33877","Amoxicillin","Vitamin C","100","100","Analyst 39","T39-H94J","MSH Tanzania"
"9477","35894","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 39","T39-C2S1","MSH Tanzania"
"9478","35817","Penicillin Procaine","Penicillin Procaine","100","100","Analyst 39","T39-TJ99","MSH Tanzania"
